Hour	leaf +1	internode 1	internode 5
-2	0.367955584	0.9008652	1.733965494
0	-0.034993361	-0.007890615	0.206030893
2	1.474365455	0.195129301	0.558225898
4	2.369555743	0.465822523	-0.134005481
6	-0.408706977	-1.625347066	-1.661940081
8	-1.383444554	-0.78129982	-1.747455784
10	-0.177770546	-0.99720989	-1.07022005
12	0.588240384	-0.928247569	-0.107256493
14	-0.341012461	-0.58633625	-0.268155707
16	-1.445767929	0.120044157	0.390031506
18	-0.237374355	2.463796302	-0.231679815
20	-0.573920577	0.483868737	0.736957771
22	-0.050857492	-0.094899151	0.270876924
24	-0.146268913	0.391704141	1.324624925
