Hour	leaf +1	internode 1	internode 5
-2	-0.909584521	-0.970389266	-1.013503406
0	-1.16297188	-1.004389319	-1.165342197
2	-0.638920751	-1.004389319	-0.927324633
4	0.586552659	-0.160216576	0.150648702
6	1.281640256	0.763613434	0.873401344
8	1.339228292	1.579614705	1.326865839
10	1.278760854	1.049699594	1.49799226
12	1.04927253	1.401357285	1.337945967
14	0.776909913	1.157528333	1.012518506
16	0.267802879	0.42895577	0.236499175
18	-0.374015785	-0.111645072	-0.473449763
20	-1.088107433	-0.829531904	-0.861664616
22	-1.186007095	-1.12581808	-1.259728472
24	-1.220559917	-1.174389584	-0.734858707
