Hour	leaf +1	internode 1	internode 5
-2	-0.701419118	0.167492444	-0.729949044
0	-1.005915707	-0.519667232	-0.991516881
2	-1.354613413	-1.071091664	-0.641353487
4	0.433321799	-1.082968498	-0.048607018
6	0.634928008	-1.600459118	0.036824412
8	1.587216533	1.426436839	2.402536741
10	1.773843475	1.400986481	1.931081809
12	1.215436021	1.971074508	0.913287606
14	0.615381292	0.5312629	0.003073723
16	-0.155289752	-0.043575861	-0.405836963
18	-0.4818869	-0.034413732	-0.470596097
20	-0.735797765	-0.191595146	-0.591782163
22	-0.706330353	-0.19288463	-0.763699733
24	-1.118874119	-0.760597291	-0.643462905
