	ZT00	ZT02	ZT04	ZT06	ZT08	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22
ZT00	285	91	10	8	15	16	0	1	0	11	0	19
ZT02	189	114	65	41	22	4	2	1	0	3	0	15
ZT04	19	19	18	30	22	4	0	0	0	1	0	4
ZT06	23	6	16	64	43	15	5	0	0	0	0	2
ZT08	5	3	4	48	94	35	3	0	0	0	0	4
ZT10	24	6	4	40	91	94	4	4	0	0	0	8
ZT12	55	7	2	16	89	132	15	18	0	4	0	24
ZT14	61	9	1	4	27	34	3	14	0	6	0	36
ZT16	1	0	0	3	7	4	1	0	0	0	0	0
ZT18	14	6	0	1	1	1	0	3	0	3	0	5
ZT20	0	0	0	0	0	0	0	0	0	0	0	0
ZT22	73	11	1	13	9	5	4	4	0	8	0	23
