	ZT00	ZT02	ZT04	ZT06	ZT08	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22
ZT00	600	40	3	0	1	0	0	0	0	3	13	4
ZT02	130	65	1	0	0	0	0	0	0	1	8	2
ZT04	3	36	1	27	8	0	0	0	0	0	0	0
ZT06	1	0	1	64	187	20	0	0	0	0	0	0
ZT08	0	0	0	3	266	160	1	0	0	0	0	0
ZT10	2	0	0	0	80	140	0	0	0	0	0	1
ZT12	2	0	0	0	7	12	0	0	0	0	0	0
ZT14	2	0	0	0	1	9	0	0	0	1	0	1
ZT16	0	0	0	0	0	0	0	0	0	0	0	0
ZT18	22	1	0	0	0	0	0	0	0	4	3	0
ZT20	0	0	0	0	0	0	0	0	0	0	0	0
ZT22	59	1	0	0	1	1	0	0	0	7	3	5
