ProbeName	ZT23a	ZT01a	ZT03a	ZT05a	ZT07a	ZT09a	ZT11a	ZT13a	ZT15a	ZT17a	ZT19a	ZT21a	ZT23b	ZT01b
GS1_SS_00002_16347	0.227	0.6575	0.2991	0.107	0.6025	0.21725	-0.3935	-0.386	-0.2405	-0.14925	0.18125	0.10215	0.244	0.1865
GS1_SS_00003_16888	0.00958	0.3135	0.0295	0.1363165	0.241	-0.318	-0.522	-0.0963605	-0.15155	-0.0946	0.0845	-0.08	-0.0115	-0.06505
GS1_SS_00007_14861	0.795	-0.3545	-0.6295	-1.49	-1.465	0.016	-2.37	-0.625	-0.548	1.51	0.895	-0.26	-0.061	-1.1915
GS1_SS_00009_12762	0.0279	0.31175	0.1755	0.05545	-0.14025	0.04841	-0.1679	-0.232	0.051	0.105	0.24335	0.22225	0.2223	0.054465
GS1_SS_00011_16789	0.588	0.336	0.2424	0.1665	-0.063	-0.8285	-0.422	-0.2265	0.255875	-0.244	-0.087	0.1155	0.14855	0.5935
GS1_SS_00016_00323	-0.0128	0.4395	0.526	0.58	-0.712	-1.155	-0.998	-0.812	-0.497	-0.314	-0.045	0.15845	0.2815	0.34075
GS1_SS_00019_02015	0.0231	0.01855	-0.0285	0.21155	0.1362	0.487	0.3915	0.0515	0.302	-0.14645	0.0535	0.0403	-0.10395	-0.082
GS1_SS_00020_18986	-0.178	-0.001685	0.0095	-0.161	0.078	0.2325	0.07495	0.12604	0.2185	0.2015	0.015	0.1089	0.09765	-0.11075
GS1_SS_00022_20026	0.101	0.33494	0.3255	0.3489	0.554	0.417	-0.228	-0.3375	-0.111	-0.1508	0.0565	-0.0315	-0.1322	-0.0952
GS1_SS_00027_18006	0.258	0.2058	0.3925	0.10297	-0.641	0.11255	0.09805	0.698	0.414	0.2419	0.383	-0.0485	0.20005	-0.24115
GS1_SS_00031_10674	0.451	0.34045	0.353	0.203	-0.5835	-0.9105	-0.461	-0.14045	-0.0845	-0.002	0.06	0.1955	0.1529	0.289
GS1_SS_00032_11430	-0.204	0.02065	-0.3415	-0.533	-0.163325	0.2545	0.052	-0.06005	-0.07	0.08685	-0.0045	0.07	-0.11635	0.15945
