V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16
GS1_SS_00019_02015 0.218380290501492 0.783875792158099 0.592336993209894 0.928350771936174 -2.81012174772528 -1.23184204439207 -0.653577289472245 -0.456930789218754 -0.114714801764626 0.338776106983221 1.17425010620492 0.367962971584853 0.605106246473107 0.258147393521214
GS1_SS_00051_20570 0.577210061123809 0.508234831285822 0.45699608912046 -0.530335057989014 -1.64182161880686 -1.62014368942921 -0.508657128611361 -1.62999729369178 0.207699901277449 0.435318159742807 0.490498343613197 0.421523113775209 1.50936102436289 1.32411326422658
GS1_SS_00064_19601 0.474394675489202 1.07023430472454 0.709722216351693 -0.768716993974098 -2.14186532519234 -1.70032292893488 -0.399471099960994 -0.824564828929299 -0.00305336617820112 0.866930717876326 0.0483790448144257 1.09449487594748 0.671972767528803 0.901865940437355
GS1_SS_00180_12338 0.390001242700112 1.12040548967657 0.29428808029114 -1.41399170810322 -2.44791221914463 -0.626814634754903 0.186929209908452 -0.484154712076891 0.128336741665697 0.0741114139130854 0.998489484326736 -0.489977566063748 1.04580017296995 1.22448900469165
GS1_SS_00314_13853 1.0084459837517 0.299523157303492 1.30052278738027 -0.491630523089373 -1.79399350132034 -2.13849434662583 -0.592734032037723 -0.723045221348929 0.485703396744676 1.03390908970906 0.75231709441588 0.524646970561818 0.382353143153029 -0.0475239985977323
GS1_SS_00319_12530 0.690896334452567 0.487278664881022 -0.341248200917518 -0.69606841092574 -2.01262085250382 -1.87599996453324 0.411086246589734 -0.0343766679374338 -0.693441086157074 1.48040742743643 1.30306300555154 0.453123442888376 0.30081742604886 0.527082635126298
GS1_SS_00698_15154 1.00876912480484 1.017018565651 0.786034221958466 -0.439007743696586 -2.22913640731373 -1.65580026850548 -0.705739664389156 -0.551750101927466 -0.292167696634903 0.111504942103956 0.511052860419734 0.385936340919611 1.09126353326646 0.962022293343255
GS1_SS_00815_13657 -0.105103375502777 0.3982452962599 0.286561675068078 0.0993255988001999 -1.03616801705343 -1.98709376601919 -0.233699030584433 -1.82860614119156 1.76244257325719 0.621492168295575 0.387813199435803 0.13944904812365 1.26605531995213 0.229285451158854
GS1_SS_00854_10101 1.04567023316087 0.587285816845725 0.435941111958457 -1.57275343566031 -1.98351349703362 -1.74997098722271 -0.140359375486709 0.352896143028635 0.143326084960077 -0.174703862223608 0.448076163938827 0.532792564556512 0.853341107434236 1.22197193174362
GS1_SS_00978_15392 1.03547945767192 0.695978801695868 0.642319123547678 -0.45667236160275 -1.89963614257491 -2.21265093177268 -0.546793103108043 0.356822118015642 -0.702612553115287 0.252942484677479 0.638879400589461 0.312793664150461 0.776124346622331 1.10702569520284
GS1_SS_00989_03547 0.5453606967305 1.54763273730233 0.124224057681296 0.222047135255717 -1.97565607364082 -1.41151535932392 -0.359088266266906 -1.01835777847927 0.57387861087084 0.279248765362794 0.983906527551424 -1.17234622474578 0.992196618871291 0.668468552830514
GS1_SS_01240_12907 0.95593567467974 0.786083855165207 0.35895648550366 -1.00587781892187 -2.17133606108784 -1.27311967436099 0.0077628704486107 -1.2686235967856 0.516319200642125 0.871009764922473 -0.333939025280627 0.975918241681449 0.938450928553244 0.642459154840418
GS1_SS_01358_03545 0.700722626456512 0.995842807596784 0.37662700934974 -0.990369669692001 -2.17589426643985 -1.46116684593286 -0.908487233979264 0.148579596650439 0.703942119341678 -0.446490004957856 1.328523739064 0.626137707950152 0.22048160441916 0.88155081017337
GS1_SS_01437_10136 0.852715006963053 0.837485060040285 0.309297539101742 -0.266200029724548 -2.41167829729148 -1.70526799321416 0.00729093203749521 -1.02478100304794 0.580844252320453 0.0387229501546969 0.261015366942329 0.981035410822969 0.964833339628535 0.574687465266568
