V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16
GS1_SS_00031_10674 0.762669869016096 1.11393242735606 1.7040535253672 0.787157887368939 -1.73631233174536 -1.59580730840937 -0.944666885978035 -1.01110568986977 -0.261009586717512 0.281741246283209 -0.537202318303677 0.298401127621619 0.619756188137208 0.51839184987339
GS1_SS_00323_10701 1.04849997824115 1.26196882606288 1.40350795342294 0.930163986513886 -0.387774117428958 -1.01599901468692 -1.10127053813745 -1.41625310435266 -1.24222958710669 -0.90984466916688 -0.452162818809968 0.210634750540865 0.667504491150629 1.0032538637572
GS1_SS_00380_19508 0.655879685810802 0.801772709904619 1.29446062733619 1.11747564728796 -2.22132208443282 -0.704991309424959 -1.1103825812922 -0.532215701875168 -0.367763171765483 -0.0754987857939358 -0.99199397977345 0.18902200871059 0.942882356159293 1.00267457914856
GS1_SS_00554_10191 1.21190128477275 1.0217998949898 1.2000815092422 0.194415607851595 -1.02432144710299 -1.04863078544414 0.106752272666713 -2.10157578895693 -0.79155066765477 0.453465688229391 -1.14811389615957 0.733200375785642 0.725320525431944 0.467255426348361
GS1_SS_01464_21708 1.19981011549666 1.28955388649069 1.74051633573571 -0.27692363621016 -2.09602987425922 -1.12230995897396 -0.458206053618108 -0.886732560114618 -0.753463060188478 0.378205892046284 -0.0512180521601662 0.466154787620437 0.441475250597078 0.129166927537841
GS1_SS_01743_04397 0.843382286403229 1.22951534209125 1.17616206273389 0.163354047814488 -1.10265597083477 -1.2988875237254 0.351446964870948 -1.25005570872036 -1.70039355821131 0.655289369346769 -1.03302541980906 0.535651422584414 0.514762257276702 0.91545442817919
GS1_SS_01974_11102 1.45679862618112 1.13476192316089 1.12784409768861 0.745932422477216 -0.940585718524996 -1.06224402855486 -0.749987699478211 -0.964440289119087 -0.527901647247227 -1.00046069071616 -1.13380774033713 -0.0889775483159583 0.419840442455996 1.5832278503298
GS1_SS_02006_19785 1.63608396222539 1.28206270301124 1.39613621986913 0.515213319857923 -1.05054403825532 -0.662497402461143 -0.202859800914774 -1.40653208224288 -0.757099750062257 0.0665897130426612 -1.11741472055132 -1.05447760780214 0.829702205126492 0.525637279157007
GS1_SS_02144_18497 0.990723372086808 1.76475889620955 1.31018153291349 1.15452797368832 0.391935259055448 -0.680553816693391 -1.3984725490713 -1.47998297283474 -0.546688620743448 -0.881194859803376 -0.799684436039945 -0.415989791255085 0.17373812467334 0.416701887814337
GS1_SS_02840_06031 1.06608324915957 1.2846778875961 1.47244507702234 1.6013598637926 -0.185707355333287 -0.509199395265699 -0.765067222051017 -1.16358206289299 -1.19020576885641 -0.696686335155488 -0.923688459685726 -0.991789097044798 0.561634083536819 0.439725535177988
GS1_SS_02887_05528 1.0025553955696 1.24240168380476 1.48224797203992 0.0694948352401238 -0.786639415570024 -1.01858832602183 0.0130432088628233 -1.70010277917784 -0.803896648504017 0.229694606052805 -1.64452863922092 0.421074394336057 0.687830266129312 0.805413446459233
GS1_SS_03606_02156 1.19066477780762 1.28611335240472 2.07592408505982 -0.183584919303553 -1.44833097698685 -0.888226154625859 -0.247357153759636 -1.54377955158394 -0.94906150986357 -0.190717340262457 -0.048068921084378 0.417845989201672 0.276980675263319 0.251597647733102
GS1_SS_03699_12993 1.56971628265223 1.51583831759169 1.73985722494868 0.713340206426765 -1.02493308736863 -0.304953333217487 -0.88882033353147 -0.837778050842535 -1.26313040658366 -0.897327380646292 0.0494502495860181 -0.749304760848381 0.313225423792947 0.0648196480401308
GS1_SS_04477_20876 0.98376678933786 1.42695151995804 1.68284897947931 0.499786811547623 -1.59931408829356 -0.646188768047652 -0.960534690787119 -1.22103088726211 -0.58110180551724 -0.126828184984473 -1.09864514575194 0.338460152284211 0.687074082646527 0.614755235390515
GS1_SS_04867_07782 0.708775710810065 1.28899364725356 0.930210446710571 0.878308139114649 -1.26759163520059 -0.498349574150116 -1.00898668774668 -1.62569489284932 -1.08944659690193 -0.00629756633026007 -0.948018474893826 0.455383658878881 1.15527154471385 1.02744228059114
GS1_SS_05397_12212 1.4759909095621 1.3684330364877 1.51042563352188 0.396361034822856 -0.66017731914335 -0.499346902531163 -0.357354305496978 -1.67579911875734 -1.34502321154361 -0.365456593487516 -1.05799965947879 -0.0553415206496595 0.523972070673835 0.741315946020028
GS1_SS_05970_10448 0.593746275877115 0.472696691445298 1.74326565042552 1.10798117093541 -1.06684625085264 -0.307350444053758 -1.15740760039957 -1.99436610768374 -0.731249828342041 -0.464308394016654 -0.0444741077130221 0.224048198050839 0.319126323136277 1.30513842319096
GS1_SS_06248_08754 0.720725545540154 1.11891278479294 1.48243828984325 0.836123758189846 -1.47014967850143 -0.771842545544321 -0.132291279101158 -1.66459355329578 -1.07069432702173 0.256807822525367 -1.12987289761131 0.330569683724529 0.556716364191874 0.937150032267781
GS1_SS_06615_13515 1.00167046727068 1.15730214145299 1.69958125618197 1.3153655605444 -0.306608293824341 -0.165567089096624 -1.40332524782779 -1.05412667888124 -1.2727405462092 -1.3790077987368 -0.083860460150913 -0.000694784259742459 -0.0597861855508373 0.551797659087449
GS1_SS_07043_04928 0.714662193339828 1.23845032891744 1.48245671081524 0.566882388363377 0.640359498100271 -0.309981147185906 -0.820009524385823 -1.47405670593895 -1.09795664361527 -1.56395379400657 -0.437488241485885 -0.724608532967133 0.64402876700099 1.14121470304839
GS1_SS_07105_10369 0.812955427268095 1.32264923868313 1.76232711877294 0.80168637235823 0.127390463817137 -0.844334598902356 -1.52232527954504 -1.34312883261769 0.176715671373431 -1.34312883261769 -0.574616235485919 -0.413339433251296 0.277213472536816 0.759935447610207
GS1_SS_07256_03337 0.912363748434974 1.16995362428408 1.22958091036026 0.63283103130983 -1.67784555871439 -1.14835525835789 -0.461448922760271 -1.1889018128897 -0.746228841060118 -0.175237949594595 -0.800131907672987 -0.143728506540497 1.2462765504616 1.1508728927397
