Hour	leaf +1	internode 1	internode 5
-2	-0.642848651	-0.559807241	-0.095641001
0	-1.017018322	-0.821277884	-0.496837347
2	-1.183665319	-0.701085733	-1.02275016
4	-1.108202528	-0.488816555	-0.973915398
6	-1.101913962	-0.547155436	-1.097880561
8	-0.04700703	0.937323054	-1.390889128
10	0.686554184	1.285950577	1.016664597
12	2.045513278	1.088441839	1.302535776
14	1.200644447	1.012531007	1.174062789
16	0.751326413	0.738408559	1.491864388
18	0.687497469	0.621730799	0.774369051
20	0.435640404	0.236764479	-0.120659425
22	-0.095114559	-0.587922364	0.221409294
24	-0.611405821	-2.215085101	-0.782332874
