Hour	leaf +1	internode 1	internode 5
-2	229.6147186	28.48382126	87.52486678
0	350.1000481	55.19568567	126.927148
2	678.7609428	101.0590652	158.3129932
4	745.8398268	136.7565485	150.1354791
6	336.0726311	52.12840267	77.72839161
8	21.81289081	13.49768875	14.44044833
10	1.962962963	2.985618901	2.046095032
12	1.341029341	1.407293272	1.59415558
14	1	1	1
16	1.35016835	1.31587057	2.112834499
18	2.981721982	2.405238829	4.143788953
20	16.08417508	5.194144838	22.03788068
