nodeName	altName	nodeAttr.nodesPresent...
GS1_SS_00016_00323	NA	lightyellow
GS1_SS_00019_02015	NA	green3
GS1_SS_00022_20026	NA	lightyellow
GS1_SS_00031_10674	NA	chocolate1
GS1_SS_00041_12635	NA	darkseagreen4
GS1_SS_00045_14409	NA	green3
GS1_SS_00051_20570	NA	green3
GS1_SS_00064_19601	NA	green3
GS1_SS_00069_01155	NA	green3
GS1_SS_00075_12059	NA	lightskyblue3
GS1_SS_00082_06509	NA	lightyellow
GS1_SS_00083_12679	NA	lightyellow
GS1_SS_00084_18450	NA	lightyellow
GS1_SS_00090_17329	NA	darkseagreen4
GS1_SS_00094_20065	NA	lightyellow
GS1_SS_00096_09570	NA	lightyellow
GS1_SS_00099_21780	NA	green3
GS1_SS_00102_14702	NA	darkseagreen4
GS1_SS_00110_07817	NA	lightyellow
GS1_SS_00121_19999	NA	lightyellow
GS1_SS_00132_17860	NA	lightyellow
GS1_SS_00133_18900	NA	lightyellow
GS1_SS_00138_18549	NA	lightskyblue3
GS1_SS_00142_20039	NA	green3
GS1_SS_00153_20534	NA	darkseagreen4
GS1_SS_00156_19233	NA	lightyellow
GS1_SS_00167_19962	NA	green3
GS1_SS_00180_12338	NA	green3
GS1_SS_00183_03382	NA	green3
GS1_SS_00203_15232	NA	darkseagreen4
GS1_SS_00204_10283	NA	darkseagreen4
GS1_SS_00208_12181	NA	lightyellow
GS1_SS_00220_03417	NA	darkseagreen4
GS1_SS_00233_20834	NA	lightyellow
GS1_SS_00236_09118	NA	lightyellow
GS1_SS_00240_19339	NA	darkseagreen4
GS1_SS_00241_19560	NA	blue1
GS1_SS_00248_20496	NA	lightskyblue3
GS1_SS_00249_14079	NA	darkseagreen4
GS1_SS_00251_00031	NA	lightyellow
GS1_SS_00254_17418	NA	lightyellow
GS1_SS_00263_21153	NA	lightyellow
GS1_SS_00270_03274	NA	lightyellow
GS1_SS_00271_17715	NA	lightskyblue3
GS1_SS_00273_10095	NA	darkseagreen4
GS1_SS_00276_04878	NA	blue1
GS1_SS_00280_04396	NA	blue1
GS1_SS_00283_19610	NA	cornsilk2
GS1_SS_00287_15114	NA	lightyellow
GS1_SS_00292_13707	NA	lightyellow
GS1_SS_00301_12572	NA	lightyellow
GS1_SS_00304_06316	NA	deepskyblue4
GS1_SS_00305_19541	NA	lightyellow
GS1_SS_00307_19580	NA	lightyellow
GS1_SS_00314_13853	NA	green3
GS1_SS_00315_06622	NA	lightyellow
GS1_SS_00319_12530	NA	green3
GS1_SS_00323_10701	NA	chocolate1
GS1_SS_00324_15487	NA	darkseagreen4
GS1_SS_00329_09488	NA	darkseagreen4
GS1_SS_00344_00804	NA	lightyellow
GS1_SS_00346_03424	NA	lightyellow
GS1_SS_00348_12354	NA	darkolivegreen
GS1_SS_00352_18730	NA	lightyellow
GS1_SS_00379_16060	NA	lightyellow
GS1_SS_00380_19508	NA	chocolate1
GS1_SS_00385_10561	NA	green3
GS1_SS_00402_07756	NA	lightyellow
GS1_SS_00406_20661	NA	lightyellow
GS1_SS_00412_08974	NA	lightyellow
GS1_SS_00415_08826	NA	lightyellow
GS1_SS_00416_08793	NA	darkseagreen4
GS1_SS_00431_19531	NA	lightskyblue3
GS1_SS_00435_10744	NA	green3
GS1_SS_00438_04895	NA	lightyellow
GS1_SS_00462_14207	NA	green3
GS1_SS_00464_05744	NA	lightskyblue3
GS1_SS_00465_21240	NA	darkseagreen4
GS1_SS_00476_17167	NA	darkseagreen4
GS1_SS_00479_12977	NA	green3
GS1_SS_00483_07277	NA	darkseagreen4
GS1_SS_00493_13995	NA	green3
GS1_SS_00511_18594	NA	darkseagreen4
GS1_SS_00512_21477	NA	green3
GS1_SS_00519_20465	NA	lightskyblue3
GS1_SS_00521_21419	NA	darkseagreen4
GS1_SS_00522_13919	NA	blue1
GS1_SS_00554_10191	NA	chocolate1
GS1_SS_00560_12500	NA	lightyellow
GS1_SS_00562_18158	NA	lightyellow
GS1_SS_00565_10961	NA	darkseagreen4
GS1_SS_00569_08294	NA	lightyellow
GS1_SS_00583_19760	NA	lightyellow
GS1_SS_00584_09610	NA	darkseagreen4
GS1_SS_00586_15866	NA	lightyellow
GS1_SS_00592_12669	NA	lightyellow
GS1_SS_00600_14339	NA	lightyellow
GS1_SS_00603_13644	NA	lightyellow
GS1_SS_00604_17302	NA	darkolivegreen
GS1_SS_00606_15578	NA	lightskyblue3
GS1_SS_00610_06745	NA	green3
GS1_SS_00615_02705	NA	lightyellow
GS1_SS_00620_20145	NA	darkseagreen4
GS1_SS_00654_12804	NA	lightyellow
GS1_SS_00655_18036	NA	lightyellow
GS1_SS_00656_03834	NA	lightyellow
GS1_SS_00657_13835	NA	lightyellow
GS1_SS_00669_12475	NA	lightyellow
GS1_SS_00677_13251	NA	lightyellow
GS1_SS_00686_13386	NA	lightyellow
GS1_SS_00688_21138	NA	lightyellow
GS1_SS_00692_20131	NA	lightyellow
GS1_SS_00695_11285	NA	lightyellow
GS1_SS_00698_15154	NA	green3
GS1_SS_00700_09031	NA	lightyellow
GS1_SS_00712_01952	NA	lightyellow
GS1_SS_00713_08511	NA	blue1
GS1_SS_00718_07593	NA	cornsilk2
GS1_SS_00722_11341	NA	lightyellow
GS1_SS_00739_13132	NA	lightyellow
GS1_SS_00746_10054	NA	darkseagreen4
GS1_SS_00748_05585	NA	lightyellow
GS1_SS_00750_14905	NA	antiquewhite4
GS1_SS_00756_00145	NA	lightyellow
GS1_SS_00757_20561	NA	lightyellow
GS1_SS_00764_21538	NA	lightyellow
GS1_SS_00783_13825	NA	green3
GS1_SS_00804_13037	NA	lightyellow
GS1_SS_00806_21326	NA	green3
GS1_SS_00808_05136	NA	lightskyblue3
GS1_SS_00809_14652	NA	lightyellow
GS1_SS_00811_00697	NA	darkseagreen4
GS1_SS_00814_18526	NA	green3
GS1_SS_00815_13657	NA	green3
GS1_SS_00817_15125	NA	darkseagreen4
GS1_SS_00829_08970	NA	antiquewhite4
GS1_SS_00831_18504	NA	darkseagreen4
GS1_SS_00833_14379	NA	lightyellow
GS1_SS_00835_12289	NA	green3
GS1_SS_00836_18856	NA	green3
GS1_SS_00850_09555	NA	darkseagreen4
GS1_SS_00854_10101	NA	green3
GS1_SS_00859_15106	NA	darkolivegreen
GS1_SS_00861_09410	NA	blue1
GS1_SS_00866_03993	NA	lightyellow
