ProbeName	ZT23a	ZT01a	ZT03a	ZT05a	ZT07a	ZT09a	ZT11a	ZT13a	ZT15a	ZT17a	ZT19a	ZT21a	ZT23b	ZT01b
GS1_SS_16368_11258	-0.3145	-0.194	-0.088	-0.0924	0.2351	-0.08265	0.35248	0.4585	0.469	0.24248	0.273	-0.2245	0.0025	-0.0095
GS1_SS_16370_13815	-0.27	-0.2785	-0.2535	-0.14625	0.1055	0.5035	0.302	0.333	0.1625	0.1625	-0.00763	0.004	-0.16305	-0.1103
GS1_SS_16371_09107	-0.21755	-0.184	-0.1811	-0.0607	0.3985	0.5125	0.1815	0.00055	-0.042	0.0005	-0.22	-0.37	-0.2235	-0.00505
GS1_SS_16373_03603	0.0491	0.02575	-0.3185	-0.004	0.0849	-0.1092	0.10354	0.214	0.374	0.09585	0.613	0.334	0.1975	-0.073
GS1_SS_16374_06050	0.4075	0.2655	0.245	-0.0785	-0.21025	-0.3425	-0.194	-0.238	-0.4215	0.0285	0.175	0.26	0.2825	0.2235
GS1_SS_16378_19841	0.1706	0.2475	-0.13935	-0.056695	-0.1885	-0.2795	-0.012	-0.12945	-0.0387	0.0823	0.204	0.2485	0.0395	-0.128
GS1_SS_16380_18621	-0.0771	0.090525	0.10938	0.15615	0.233	0.197	-0.1605	-0.18	-0.426	-0.3285	-0.279	-0.18085	-0.0721	0.0336
GS1_SS_16381_08370	0.033	0.1122	-0.07375	0.034335	-0.0623	-0.1944	0.1555	0.0529527	-0.12365	0.236	0.227	0.333	0.0659	0.03305
GS1_SS_16382_04113	0.344	0.38005	0.909	0.467	-0.0435	-0.386	-0.7575	-0.8255	-1.114	-0.592	-0.0849	-0.1898	0.181	0.353
GS1_SS_16383_13320	-0.2315	-0.57	0.3455	-0.453	-0.0027	0.3236	-0.0145	-0.3246	-0.1582	0.083	-0.138	-0.4775	0.40205	0.06895
GS1_SS_16386_12779	-0.039135	0.1173	-0.0179	-0.0295	-0.151	-0.07955	-0.1152	-0.067045	0.166616	0.0194	0.508	0.1905	0.1091	0.12265
GS1_SS_16388_10353	0.0716	0.1925	-0.023	0.0085	0.06385	-0.16	-0.10845	-0.078125	-0.08755	0.008	0.11	0.08465	-0.069	-0.2335
GS1_SS_16389_09885	0.2515	0.0973	0.1685	0.2985	-0.013525	0.03665	0.1162	-0.0535	-0.0023	0.18595	0.178	0.111	0.0964	0.13915
GS1_SS_16390_16900	-0.788	-0.6725	-0.696	-0.0978	0.1135	0.0155	0.25485	0.285	0.2782	0.17985	-0.00158	-0.2965	-0.286	-0.366
GS1_SS_16392_06081	0.00325	-0.08265	0.11	0.2015	-0.17645	-0.0486	-0.0475	0.036	-0.0701	-0.01	-0.0639	0.01025	0.0495	0.165
GS1_SS_16393_14461	0.068	-0.0695	-0.1435	-0.114	-0.1811	0.2435	0.24345	0.17405	0.126	0.074	-0.154	-0.09	0.038	-0.0445
GS1_SS_16395_10788	-0.09405	-0.05505	-0.2935	-0.15825	-0.0397	0.0213	0.04865	0.1025	0.08265	0.04125	0.0144	-0.059	0.01	0.0775
GS1_SS_16399_21272	-0.2095	0.4755	0.208	0.009	0.08295	-0.2181	-0.188	-0.1095	-0.091	-0.07045	-0.0903	0.3895	0.0765	0.063
GS1_SS_16401_21702	-0.2685	0.1675	-0.271	0.051	-0.033	0.0785	0.04155	0.07315	0.205	-0.11245	-0.111	-0.098	0.083	-0.3221
GS1_SS_16402_09100	0.145	0.212	0.09765	0.01135	-0.0788	-0.325	-0.07445	-0.08195	-0.13015	-0.05575	-0.161	0.0105	0.0669	0.0521
GS1_SS_16406_09361	-0.03666	0.039	0.0975	0.0235	-0.082	-0.0192	0.01765	0.05095	0.1195	-0.1485	0.00726	0.16955	0.12365	0.08445
GS1_SS_16411_13862	-0.1255	-0.0664	-0.0575	0.027965	0.2745	0.552	0.363	0.14435	0.118	-0.038	-0.301	-0.157	-0.09335	-0.101
GS1_SS_16414_08732	0.3818	0.2535	0.38335	0.1325	0.371	0.0195	0.2535	0.2025	0.265	0.315	0.849	0.82795	0.3665	0.3605
GS1_SS_16417_07447	-0.0225	-0.12875	-0.2155	-0.2025	0.0515	-0.0274	0.0063	0.0295	0.0371	-0.17925	0.167	0.02775	0.04035	-0.07581
GS1_SS_16418_10789	0.109	0.1154	0.026	0.13375	-0.0145	-0.4675	-0.29755	-0.1833	-0.15874	-0.47005	-0.11	0.035	0.1845	0.069845
GS1_SS_16419_04104	-0.0865	-0.27105	-0.1078	0.06045	0.08755	0.37755	0.2765	0.1474	0.2035	0.1609	0.0826	-0.06565	-0.41565	-0.09285
GS1_SS_16421_07209	0.2285	0.11695	0.203	0.1645	0.1199	-0.03425	0.07545	0.1142	0.04805	0.08145	0.388	0.307	-0.035	0.09345
GS1_SS_16423_13374	-0.178	0.125	-0.1745	-0.2855	0.007	0.239	-0.108	0.3635	0.089	0.26	0.192	0.0515	-0.0988	-0.0415
GS1_SS_16425_10770	0.09215	0.0715	0.918	0.0835	-0.576	0.4125	-0.2565	-0.604	-0.1852	-0.07475	0.506	0.09955	-0.592	-1.029
GS1_SS_16426_11932	-0.4765	0.044	-0.11145	-0.0923	0.1547	-0.0645	-0.2865	0.0285	-0.0775	0.0605	-0.306	-0.393	0.591	-0.107
GS1_SS_16427_12392	-0.0131	0.059335	0.2835	-0.1315	0.0424	-0.0991	-0.015405	-0.216	-0.1835	0.0333	-0.0816	0.03405	0.01465	0.02645
GS1_SS_16428_16407	0.0442	-0.0095045	-0.0174	0.12315	-0.2225	0.0058	-0.01525	-0.02855	-0.0549	0.09675	0.0742	0.09145	0.10875	0.06645
GS1_SS_16429_09681	0.1628	0.13265	-0.08625	0.0085	-0.2432	-0.24	-0.0627	0.21741	0.3435	0.1125	0.0948	0.087	0.407	0.145
GS1_SS_16436_20397	-0.30855	-0.2955	-0.10275	0.1398	0.175	0.3985	-0.1195	-0.3082	-0.248	-0.2485	0.844	0.224	-0.09175	-0.5385
GS1_SS_16437_15085	0.3425	0.5685	0.2217	0.1138	-0.257	-0.297	-0.1266	-0.24895	0.004	-0.07615	-0.0833	0.28735	0.38	0.03565
GS1_SS_16439_14407	0.13605	0.16105	0.0993	-0.008	-0.1469	-0.0851	0.003	-0.091	-0.07915	0.08605	-0.116	0.18335	0.0455	0.10145
GS1_SS_16444_12316	-0.8255	0.2668	-0.496	-0.62	-0.7045	-0.976	-0.314	-0.2765	-0.053	-0.0977	-0.305	0.29	-0.14475	0.077
GS1_SS_16445_02402	0.329	0.4255	0.317	-0.2965	-0.5725	-0.841	-0.1195	-0.271	-0.11	0.171	-0.114	0.18785	0.239	0.3115
GS1_SS_16448_20035	0.0177	0.1586	-0.075	-0.1823	-0.1545	0.07	-0.0295	0.15155	0.04935	-0.1065	0.341	0.1365	-0.09755	0.038
GS1_SS_16451_00591	-0.334	-0.03085	-0.0766	0.08656	-0.1451	0.096515	-0.1825	-0.0995	0.213	-0.051275	-0.0562	-0.1568	-0.01345	0.21625
GS1_SS_16452_11203	0.242	0.2185	0.353	0.236	-0.13225	-0.20795	-0.09105	-0.273	0.0189	-0.08905	0.243	0.03395	0.05145	0.00645
GS1_SS_16458_10401	0.1807	0.051	1.1675	0.9865	0.15625	-0.516	-0.7305	-0.88	-1.6735	-1.311	-0.449	-0.532	-0.6125	0.01015
GS1_SS_16459_10099	-0.0694	-0.04664	-0.12515	-0.173	-0.312	-0.11545	0.057	0.0335	0.3601	0.0005	0.468	0.13415	0.118	0.197
GS1_SS_16468_08291	0.0441	0.1747	0.15047	-0.0115	-0.23	-0.2575	-0.1396	-0.09185	-0.0641	-0.0105	-0.0303	0.05385	0.13785	0.205
GS1_SS_16469_12526	0.01435	0.07275	-0.0349	0.003	-0.2775	0.06305	-0.1339	-0.181245	-0.01275	0.01065	0.116	0.1262	0.143	0.056195
GS1_SS_16470_00070	-0.14895	-0.208	0.1087	0.1322	0.2095	0.2935	0.02175	0.10895	-0.0489	0.0299	-0.0723	-0.0578	-0.235	-0.3895
GS1_SS_16471_12309	-0.314	-0.2765	0.007	-0.0315	-0.4195	0.682	-0.157	0.08845	0.2655	0.0255	0.735	0.695	-0.29855	-0.0005
