V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16
GS1_SS_00512_21477 -0.677455578371249 -0.257903685701038 -0.909166184888523 0.924369918856863 1.84571723172792 0.848350074107626 1.94462926929261 -0.115397083431916 0.159633332129891 -1.15736213099991 -1.29748751754988 -0.402699918469343 -0.807506590724818 -0.0977211359782272
GS1_SS_03115_11114 -0.472619977455551 -0.638111158677915 -0.985019450696343 0.975551506761668 1.23669718424346 0.989400141173581 2.16851244253077 0.689676124972886 -0.311085548922305 -1.14427874643335 -1.06118693996187 -0.901927644224863 -0.637814402226231 0.0922064689160554
GS1_SS_04303_00173 -0.527411154046449 -1.75428838860479 -0.630189027643222 0.193648273281699 1.65191024944534 1.00564728510123 1.22357942545041 1.3613340623131 0.485731151754624 -0.755029167300036 -1.13546873082317 -0.69045668127065 -0.691532889371139 0.262525591713045
GS1_SS_04442_02545 -0.881927470175434 -0.922842717210029 -1.3652982956074 0.399861582854874 1.66813908919004 1.29704731375999 1.66052695020686 0.709009577309292 0.528221276458755 -0.489902312541637 -0.87146077907356 -0.294841251097637 -1.05320059729699 -0.38333236677711
GS1_SS_04545_08461 -1.11724034146523 -1.45914814830188 -1.59703689344588 0.533904216177558 1.63349942135639 0.648579813184969 1.4210381915937 1.00230665531968 0.721745269791989 -0.500258558346415 -0.471414484107109 -0.271616506449477 -0.751131652827794 0.206773017519501
GS1_SS_05328_06016 -1.12015709826119 -0.930277644683739 -1.241827427738 1.01644762694524 1.59899041656148 1.03303903551026 1.62664276416985 0.0718434326434503 0.651436638514805 -0.786116739152123 -0.847320601858641 -0.082272318027177 -1.11647011858007 0.126042033955848
GS1_SS_05957_13562 -0.838083914392567 -1.19594004664794 0.0729029309291323 1.00686325634624 1.28784658982083 1.29049737598568 1.78972877036663 0.538027543322287 -0.132091199152957 -1.3965161997886 -1.23128386217933 -0.492598117573184 -0.523965753857296 -0.175387373178916
GS1_SS_08609_02137 -0.838111837722034 -1.33317163426873 -1.03916232278248 1.16806934653706 1.32804500131634 0.686196732343794 1.85985596179882 0.43131660128329 0.988637193203543 -0.399692070299896 -0.760934393456894 -0.778012875521169 -0.736505678605463 -0.576530023826182
GS1_SS_09795_12140 -0.793346438818771 -0.449938805177585 -1.00036522505637 0.884236384245404 0.832603463442616 0.717160046176005 2.38987183897577 0.383981576090088 0.551471951731963 -0.686183773001663 -1.28970442276256 -1.01741383098181 -0.856669832256153 0.334297067393066
GS1_SS_09928_01829 -0.802440760472682 -1.18223902201606 -1.30197837540904 0.490370070692212 1.63537763751264 0.662308298454953 1.74389142652503 0.838362566490578 0.0151545119137998 -0.211788981313844 -1.26268890007697 -0.338450766074862 -0.970824226181568 0.684946519955815
GS1_SS_11746_07712 -0.700010356236055 -1.64618824347625 -0.747695571348671 0.19514918924329 1.33803530883643 0.854194343770423 1.70306643692512 1.39448342142747 0.212836264521814 -0.92365240231101 -1.22685940708571 -0.197353353639702 -0.553782864571661 0.297777233944513
GS1_SS_11947_19754 -0.682231763344727 -0.977233904184812 -0.781299646462666 0.983209427293513 1.29031986495912 1.47964959714007 1.46423903754395 1.0728108238024 0.148837700589094 -0.613984999419036 -1.11592894054993 -1.19958626407174 -0.849546410388357 -0.219254522906892
GS1_SS_13223_15876 -0.510739782446788 -1.07033017061384 -0.94315053693951 0.962424307614204 1.93640833550345 0.748338590929081 1.80498938070664 -0.0518332709385797 0.0114385968143996 -0.694408370078133 -1.33210824992684 -0.349963528876822 -0.846070083234772 0.335004781487508
GS1_SS_13714_19154 -0.796193435683067 -0.74287732563826 -1.36966671689673 0.418113480410621 1.94633524930471 0.838400474715054 1.15439595620013 1.12188613300208 0.795487508093624 -0.844307974016186 -0.983450017303855 -0.820900901313588 -0.826102473025276 0.108880042150737
GS1_SS_14170_20378 0.242339753254192 -1.80953969558058 -0.827895644857003 0.522067743906663 1.87771006519518 0.508276050632034 1.45828033443146 1.08347078779155 -0.563419644414121 -1.27247493394504 -0.724052307259798 -0.0669186865274846 -0.397432559473589 -0.0304112631534673
GS1_SS_18573_16684 -0.949611892969879 -0.792733089575843 -0.392327306494553 1.35887794069469 0.828043850140447 1.33151535870735 1.9508217976873 0.490572005630021 0.133946353728463 -0.914040536386348 -1.091897319304 -0.931370171644991 -1.02531503646816 0.0035180462555141
GS1_SS_20686_06398 -1.0370238284185 -0.526707596010563 -1.50490438265179 1.10108149499642 1.88994987131999 0.659315204255221 1.35787175266865 0.498168436622778 0.708279448302891 -0.623547989793733 -0.796554985428833 -0.936919151698821 -0.817228777360072 0.0282205031963635
GS1_SS_20696_01075 -1.14177530978731 -0.500356107102929 -0.269221257257809 0.834467645116811 1.07200069149744 1.16117555571104 1.41030533331227 0.970029434212825 0.599893764633857 -0.40998158103892 -1.62963779561957 -1.14177530978731 -1.28573473183617 0.330609667945789
GS1_SS_21854_14453 -0.154669352948808 -1.01339582594057 0.0661673421038077 0.531714969512024 1.78287421817161 0.501126102967574 1.4971294404515 1.08604491689072 -0.529942520555111 -1.45879956562439 -1.51400873938754 -0.695570041844573 -0.606787721874095 0.508116778077855
GS1_SS_22465_14378 -1.38259061108185 -1.24760135280545 -0.67211038259471 0.812275174407974 1.33605334788194 1.50578248880301 1.53555953106986 0.941606794653677 0.00601212662911724 -0.730473385437744 -0.825759920691677 -0.668934164752912 -0.675385857244064 0.0655662111628257
GS1_SS_22494_18516 -0.208599273526682 1.35208484089639 -0.855068513581102 0.137417409740408 0.30207984701875 0.326891995101788 2.20359265010973 0.319561133168163 0.909977475053175 -0.699428675605683 -1.27349155625415 -0.773865119854796 -1.63495944082749 -0.106192771438508
