V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16
GS1_SS_00896_15976 -0.655430918033067 -0.385216208978392 -0.105030477449375 0.953393558202054 1.90213634663572 1.77749856570644 0.84839869154723 0.0435377574183244 -0.359291550545102 -1.10412692937847 -1.323489423814 -1.19386613164755 -0.645459895558724 0.246946615894906
GS1_SS_01038_02036 -1.1613118040334 -0.333908567041467 0.456789637890394 1.02463905560188 2.23240531912308 1.64897995970569 0.260200295710708 -0.0740190887555388 -0.930214746082357 -0.717302374658608 -0.69532921177146 -1.22192742579105 -0.365731768464233 -0.12326928143363
GS1_SS_01060_11577 -0.579642383693406 -0.107696606017011 0.11663668151454 0.928322158058431 1.97211636430228 1.84605995339021 0.708017963286873 -0.250128569374665 -1.06266227597329 -1.10978616790304 -0.934367480194561 -1.19696536797306 -0.477147918746211 0.147243649322909
GS1_SS_01335_10053 -0.575285345045755 -0.184197531796018 -0.0846149867555759 1.31014417438662 2.05852208862994 1.35420190643482 0.352763621673567 0.260061325199555 -0.793763413558726 -1.47213178098574 -1.11604874114416 -0.945249588135399 -0.67305729835819 0.50865556945506
GS1_SS_01779_09742 -0.653039074755346 -0.143351660995494 -0.544539980087764 0.783540604878985 1.49369301259608 1.28961138214992 1.56085911881887 0.677883153166984 -0.676288880755541 -1.78194632165375 -1.35828319009462 -0.532656745909886 -0.263268993720949 0.147787576362515
GS1_SS_02279_09129 -0.678716945395293 -0.934097201576282 -0.206650411242557 1.48900570050461 1.82005418073923 1.21986758540478 0.914615090642994 0.0267172706682852 -0.353515555201186 -1.24278916106778 -1.31415805420927 -0.703653064685693 -0.680436677760148 0.64375724317831
GS1_SS_02551_00867 -1.02883369078394 0.232188148114662 0.0645189480537007 0.769290042460361 1.72439732414467 1.96492556378644 0.601153797273882 0.153257521902121 -0.898061055638895 -0.991470080742495 -0.755612292355906 -1.3160664429775 -0.909737183776845 0.390049400539746
GS1_SS_03452_03906 -0.766449443865918 -0.334892973989567 -0.181447726402924 0.404614978078819 2.68043213329645 0.99744147480509 1.1778092679925 -0.455447623994977 -1.06352580911577 -0.657698274444096 -1.08076684817045 -0.489266585217616 -0.522687676308225 0.291885107336687
GS1_SS_03661_13282 -0.592887141242801 -0.630250725087186 -0.614278506039205 1.35458270982179 1.9906192897682 0.972390325459381 1.20341706526054 0.028318092444763 0.15267322646119 -1.6230952698376 -0.472239843791084 -0.452559788178393 -1.2622942502716 -0.0543951847679981
GS1_SS_03784_06814 -0.418428531269404 -0.869939016341991 -0.52723324867736 0.922720525550586 1.97003866102824 1.45685277464419 1.35735755177381 0.37287850442482 -0.732623971912699 -1.05845628072797 -1.16900652836172 -0.79429937322416 -0.545852237752518 0.0359911708461764
